Entity,Code,Year,Marine energy,Small hydropower,Geothermal energy,Biofuels,Biomass and waste-to-energy,Wind energy,Solar energy
World,OWID_WRL,2004,0,2800000000,1100000000,3900000000,7900000000,18400000000,10700000000
World,OWID_WRL,2005,100000000,7500000000,800000000,9800001000,9300000000,26300000000,15300000000
World,OWID_WRL,2006,100000000,6800000000,1300000000,26300000000,12000000000,35400000000,21600000000
World,OWID_WRL,2007,700000000,6500000000,1700000000,26400000000,15899999000,58800000000,37500000000
World,OWID_WRL,2008,200000000,7600000000,1700000000,17600000000,16400000000,73900000000,60500000000
World,OWID_WRL,2009,300000000,6000000000,2500000000,9399999000,13399999000,72500000000,63599997000
World,OWID_WRL,2010,300000000,8200000000,2800000000,10100001000,17299999000,97800000000,102000000000
World,OWID_WRL,2011,300000000,7700000000,3800000000,10500000000,20900000000,83300000000,160100000000
World,OWID_WRL,2012,300000000,6300000000,1700000000,7700000000,15400000000,78300004000,144000000000
World,OWID_WRL,2013,200000000,5700000000,2400000000,5099999700,14600001000,83300000000,120400000000
World,OWID_WRL,2014,400000000,7400000000,2900000000,5500000000,13100000000,111100000000,147800000000
World,OWID_WRL,2015,200000000,4199999700,2500000000,3600000000,10400000000,119700000000,176600000000
World,OWID_WRL,2016,200000000,4300000000,2700000000,2099999900,15200000000,123500000000,145900000000
World,OWID_WRL,2017,200000000,4000000000,2400000000,3300000000,7400000000,133399994000,180800000000
World,OWID_WRL,2018,200000000,2300000000,2500000000,3300000000,11500000000,132700000000,143500000000
World,OWID_WRL,2019,200000000,2500000000,1200000000,3000000000,11200000000,142700000000,141000000000